,txt,matter,citations
0,réu dirigia de forma imprudente pede compensação afirmando que a vítima provocou o acidente,[3632],"['lei+9503+1997!art302', 'lei+9503+1997!art303']"
1,Emprego e residência fixos e família não são suficientes para afastar a prisão preventiva considerando o crime de roubo qualificado,"[4355, 3419]","['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art157_par2', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313', 'urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313_par1']"
2,Comprovados o periculum libertatis e o fumus commissi delicti não há que se falar em violação da presunção de inocência,[4355],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art313']
3,Paciente representa risco à órdem pública por ser acusado de tentativa de homicídio e ainda ter fugido do local do fato,[4355],"['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2', 'urn:lex:br:federal:decreto.lei:1940-12-07;2848!art14']"
4,réu alega que não sabia a idade do menor que concorreu para o crime,[5566],['lei+8069+1990!art244']
5,coação e contrangimento ilegal por demora demasiada da prisão cautelar,[4355],"['lei+11343+2006!art33_caput', 'lei+11343+2006!art33']"
6,"embriaguês atestada por testemunhas e policiais que observaram fala embolada e halitose",[3632],"['lei+8069+1990!art244, ‘urn:lex:br:federal:lei:1997-09-23;9503!art306']"
7,legítima defesa não foi aventada pela defesa de modo que há contradição nos quesitos,[3372],['urn:lex:br:federal:decreto.lei:1940-12-07;2848!art121_par2']
8,nulidade do julgamento deve ser admitida considerando que o juiz deveria ter se pronunciado acerca das decisões contraditórias nos quesitos anteriores,[3372],['urn:lex:br:federal:lei:1997-09-23;9503!art306_inc2_par1']
9,juiz que conduziu a instrução deve ser o mesmo a proferir a sentença,[3632],['urn:lex:br:federal:decreto.lei:1941-10-03;3689!art399_par2']
